species,fastq,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Unknown,398431,398431,Unclassified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Mercurialis annua,15,15,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Mercurialis,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Mercurialis;Mercurialis annua
Staphylococcus aureus,14,14,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus
Pseudomonas sp. PDNC002,14,14,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. PDNC002
Cajanus cajan,14,14,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Cajanus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Cajanus;Cajanus cajan
Eucalyptus grandis,14,14,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Eucalyptus;Eucalyptus grandis
Lolium perenne,14,14,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Lolium,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Lolium;Lolium perenne
Mangifera indica,14,14,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Mangifera;Mangifera indica
Vitis vinifera,14,14,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Vitales;Vitaceae;Vitis;Vitis vinifera
Aquiflexum balticum,13,13,Bacteria,Bacteria_none,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Aquiflexum,Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Aquiflexum;Aquiflexum balticum
Pseudomonas sp. S34,13,13,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. S34
Cicer arietinum,12,12,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Cicer,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Cicer;Cicer arietinum
Panicum hallii,12,12,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Panicum,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Panicum;Panicum hallii
Solanum pennellii,12,12,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Solanum;Solanum pennellii
Vitis riparia,12,12,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Vitales;Vitaceae;Vitis;Vitis riparia
Pseudomonas sp. TMW 2.1634,11,11,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. TMW 2.1634
Daucus carota,11,11,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Daucus;Daucus carota
Coffea arabica,11,11,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae;Coffea;Coffea arabica
Nymphaea colorata,11,11,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,Nymphaea,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Nymphaeales;Nymphaeaceae;Nymphaea;Nymphaea colorata
Triticum urartu,11,11,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum urartu
Escherichia fergusonii,10,10,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii
Beta vulgaris,10,10,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Beta,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Chenopodiaceae;Beta;Beta vulgaris
Vigna angularis,10,10,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;Vigna angularis
Juglans regia,10,10,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Juglandaceae;Juglans;Juglans regia
Coffea eugenioides,10,10,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae;Coffea;Coffea eugenioides
Populus trichocarpa,10,10,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Populus;Populus trichocarpa
Gossypium raimondii,10,10,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Gossypium;Gossypium raimondii
Citrus sinensis,10,10,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Citrus;Citrus sinensis
Desulfomonile tiedjei,9,9,Bacteria,Bacteria_none,Pseudomonadota,Deltaproteobacteria,Syntrophales,Syntrophaceae,Desulfomonile,Bacteria;Bacteria_none;Pseudomonadota;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfomonile;Desulfomonile tiedjei
Brassica oleracea,9,9,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Brassica;Brassica oleracea
Cucumis sativus,9,9,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Cucurbitales;Cucurbitaceae;Cucumis;Cucumis sativus
Glycine soja,9,9,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Glycine;Glycine soja
Ananas comosus,9,9,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Bromeliaceae,Ananas,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Bromeliaceae;Ananas;Ananas comosus
Malus sylvestris,9,9,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Malus;Malus sylvestris
Prunus mume,9,9,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;Prunus mume
Pseudomonas sp. N3-W,8,8,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. N3-W
Physcomitrium patens,8,8,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,Funariales,Funariaceae,Physcomitrium,Eukaryota;Viridiplantae;Streptophyta;Bryopsida;Funariales;Funariaceae;Physcomitrium;Physcomitrium patens
Brassica rapa,8,8,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Brassica;Brassica rapa
Rhodamnia argentea,8,8,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Rhodamnia,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Rhodamnia;Rhodamnia argentea
Oryza brachyantha,8,8,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Oryza;Oryza brachyantha
Oryza glaberrima,8,8,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Oryza;Oryza glaberrima
Ziziphus jujuba,8,8,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rhamnaceae,Ziziphus,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rhamnaceae;Ziziphus;Ziziphus jujuba
Ipomoea triloba,8,8,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Ipomoea;Ipomoea triloba
