species,TempClass
Frigoribacterium sp. SL97,
Saccharothrix sp. 6-C,
Streptomyces anulatus,Mesophilic
Nocardia cyriacigeorgica,
Nocardioides dokdonensis,
Mesorhizobium sp. AR10,
Nocardioides daphniae,
Caldalkalibacillus thermarum,
Serinicoccus chungangensis,
Nocardioides anomalus,
Achromobacter deleyi,
Blastococcus sp. PRF04-17,
Aeromicrobium erythreum,
Orrella dioscoreae,
Pseudomonas fulva,Mesophilic
Nocardioides sp. JQ2195,
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1,
Agromyces sp. H17E-10,
Microbacterium foliorum,
Burkholderia gladioli,
Ureibacillus thermophilus,
Microbacterium atlanticum,
Pisum sativum,
Mesorhizobium sp. INR15,
Streptomyces buecherae,Mesophilic
Micromonospora zamorensis,
Sphingobacterium spiritivorum,
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1,
Streptomyces sp. ST13-2-2,Mesophilic
Nocardioides panacisoli,
Dyella thiooxydans,
Agrococcus jejuensis,
Pelagibacterium sp. YIM 151497,
Streptomyces vinaceus,Mesophilic
Dermacoccus nishinomiyaensis,
Amniculibacterium sp. G2-70,
Bordetella genomosp. 9,
Nocardiopsis gilva,
Brucella melitensis,
Microbacterium chocolatum,
Streptomyces sp. SN-593,Mesophilic
Priestia megaterium,
Streptomyces seoulensis,Mesophilic
Mesorhizobium sp. J8,
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1,
Leucobacter muris,
Rothia kristinae,
Pseudonocardia broussonetiae,
Chenggangzhangella methanolivorans,
Nocardia terpenica,
Corynebacterium maris,
Amycolatopsis sp. HUAS 11-8,
Hyphomicrobium sp. DMF-1,
Pseudomonas alcaligenes,Mesophilic
Alkalilimnicola ehrlichii,
Dietzia kunjamensis,
Methylobacterium aquaticum,
Xanthomonas cucurbitae,
Stappia indica,
Frigoribacterium sp. NBH87,
Microcella sp. MMS21-STM10,
Leucobacter triazinivorans,
Brachybacterium saurashtrense,
Devosia neptuniae,
Streptomyces coeruleorubidus,Mesophilic
Stella humosa,
Geobacillus thermoleovorans,Thermophilic
Paenibacillus sp. B01,
Flavobacterium sp. CC-SYL302,
Serratia marcescens,Mesophilic
Kitasatospora sp. NA04385,
Aeribacillus pallidus,
Mycobacterium intracellulare,
Intrasporangium calvum,
Archangium gephyra,
Streptomyces aurantiacus,Mesophilic
Streptomyces sp. GBA 94-10 4N24,Mesophilic
Brevibacterium casei,
Methylobacterium currus,
Acinetobacter baumannii,
Rubrobacter xylanophilus,
Anaeromyxobacter sp. Fw109-5,
Neorhizobium galegae,
Nocardioides sp. HDW12B,
Streptomyces chartreusis,Mesophilic
Sinomonas atrocyanea,
Nocardioides seonyuensis,
Microbacterium oleivorans,
Microbacterium sp. ABRD_28,
