species,TempClass
Mycolicibacterium sp. P1-18,
Hydrogenobacter sp. T-8,
Thermocrinis ruber,
Bacillus paranthracis,
Geobacillus sp. JS12,Thermophilic
Staphylococcus delphini,
Staphylococcus muscae,
Enterococcus wangshanyuanii,
Bombilactobacillus thymidiniphilus,
Lacticaseibacillus manihotivorans,
Lactobacillus jensenii,
Lentilactobacillus buchneri,
Lentilactobacillus kefiri,
Leuconostoc lactis,
Limosilactobacillus pontis,
Streptococcus gordonii,
Streptococcus merionis,
Clostridium sp. 001,Mesophilic
Clostridium sp. MD294,Mesophilic
Clostridium sp. MF28,Mesophilic
Blautia hansenii,
Novisyntrophococcus fermenticellae,
Peptoclostridium acidaminophilum,
Acetohalobium arabaticum,
Natranaerobius thermophilus,
Caldicellulosiruptor saccharolyticus,
Veillonella atypica,
Flavobacterium sp. KI723T1,
Myroides sp. ZB35,
Chryseobacterium turcicum,
Elizabethkingia bruuniana,
Candidatus Cloacimonas acidaminovorans,
Chlamydiifrater phoenicopteri,
Chlamydiifrater volucris,
Gloeothece citriformis,
Nodularia sphaerocarpa,
Calothrix sp. NIES-2098,
Nostoc sp. NIES-4103,
Nostoc sp. UHCC 0926,
Stanieria cyanosphaera,
Leptolyngbya sp. PCC 7376,
Thermosynechococcus sp. HN-54,
Synechococcus sp. NIES-970,
Synechococcus sp. PCC 7003,
Synechococcus sp. PCC 7117,
Synechococcus sp. RS9907,
Flexistipes sinusarabici,
Dictyoglomus turgidum,
Onion yellows phytoplasma,
Mesomycoplasma neurolyticum,
Candidatus Uabimicrobium amorphum,
Rhizobium sp. TRM95796,
Falsihalocynthiibacter arcticus,
Sulfitobacter sp. B30-2,
Neoehrlichia mikurensis,
Candidatus Fokinia solitaria,
Polynucleobacter arcticus,
Polynucleobacter sp. Adler-ghost,
Chitinibacter fontanus,
Neisseria animaloris,
Neisseria weaveri,
Candidatus Methylopumilus universalis,
Pseudodesulfovibrio piezophilus,
Aliarcobacter cryaerophilus,
Arcobacter ellisii,
Campylobacter geochelonis,
Helicobacter bilis,
Aeromonas sp. FDAARGOS 1409,
Succinivibrio dextrinosolvens,
Alteromonas sp. 76-1,
Alteromonas sp. B31-7,
Glaciecola nitratireducens,
Pseudoalteromonas agarivorans,
Shewanella polaris,
Shewanella sp. FJAT-51754,
Candidatus Profftia sp. (ex Adelges kitamiensis),Mesophilic
Pantoea sp. MSR2,Mesophilic
Xenorhabdus nematophila,Mesophilic
Yersinia bercovieri,Mesophilic
Acinetobacter shaoyimingii,
Acinetobacter sp. CS-2,
Psychrobacter sp. SC65A.3,
Psychrobacter sp. WY6,
Neptunomonas phycophila,
Gilliamella sp. ESL0405,
Aggregatibacter aphrophilus,
Pseudomonas sp. CFSAN084952,Mesophilic
Pseudomonas sp. R1-43-08,Mesophilic
Pseudomonas sp. RU47,Mesophilic
Thiomicrospira cyclica,
Thiomicrospira microaerophila,
Vibrio celticus,
Silvanigrella aquatica,
Breznakiella homolactica,
Pseudothermotoga lettingae,
Plasmodium coatneyi,
Eremothecium cymbalariae,
Torulaspora globosa,
Avocadovirus flagstaff,
Galaxyvirus abidatro,
Johnsonvirus frozen,
Pandoravirus dulcis,
Aeropyrum pernix,
Pyrodictium delaneyi,
Pyrobaculum ferrireducens,
Haloterrigena sp. ZJ2,
Methanomethylovorans hollandica,
Methanosarcina horonobensis,
Methanopyrus kandleri,
Actinomyces sp. zg-332,
Candidatus Planktophila versatilis,
Streptomyces liliiviolaceus,Mesophilic
Cryobacterium sp.,
Mycobacterium sp. IWGMT90018-18076,
Bacillus sp. 3a,
Bacillus xiamenensis,
Geobacillus sp. 610,Thermophilic
Staphylococcus argenteus,
Lacticaseibacillus chiayiensis,
Lactobacillus acidophilus,
Lentilactobacillus parabuchneri,
Ligilactobacillus acidipiscis,
Pediococcus inopinatus,
Weissella coleopterorum,
Lactococcus protaetiae,
Streptococcus canis,
Streptococcus equi,
Streptococcus infantis,
Streptococcus pseudoporcinus,
Streptococcus ratti,
Qiania dongpingensis,
Faecalibacterium sp. HTF-F,
Romboutsia hominis,
Candidatus Contubernalis alkalaceticum,
Candidatus Syntrophocurvum alkaliphilum,
Thermoanaerobacter mathranii,
Caldicellulosiruptor morganii,
Thomasclavelia ramosa,
Allobaculum mucilyticum,
Acidaminococcus intestini,
Pectinatus frisingensis,
Anaerococcus prevotii,
Dysgonomonas sp. HDW5B,
Prevotella jejuni,
Prevotella sp. E9-3,
Prevotella sp. oral taxon 475,
Aquirufa antheringensis,
Cellulophaga sp. HaHa_2_1,
Chryseobacterium cucumeris,
Chryseobacterium sp. MA9,
Sphingobacterium sp. PCS056,
Candidatus Protochlamydia naegleriophila,
Neochlamydia sp. S13,
Parachlamydia acanthamoebae,
Crocosphaera subtropica,
Dolichospermum compactum,
Calothrix brevissima,
Fischerella sp. NIES-4106,
Nostoc sp. C052,
Trichormus azollae,
Stanieria sp. NIES-3757,
Synechococcus sp. A15-62,
Mucispirillum schaedleri,
Fusobacterium necrophorum,
Candidatus Phytoplasma solani,
Spiroplasma sp. TIUS-1,
Spiroplasma taiwanense,
Candidatus Nucleicultrix amoebiphila,
Bartonella elizabethae,
Candidatus Liberibacter asiaticus,
Rhizobium sp. BT-226,
Rhizobium sp. RCAM05350,
Candidatus Endolissoclinum faulkneri,
Mycoavidus sp. HKI,
Polynucleobacter paneuropaeus,
Polynucleobacter sp. AP-Elch-400A-B2,
Comamonas sp. PR12,
Maridesulfovibrio hydrothermalis,
Aliarcobacter trophiarum,
Aeromonas sp. FDAARGOS 1414,
Alteromonas stellipolaris,
Pseudoalteromonas atlantica,
Pseudoalteromonas sp. CF6-2,
Pseudoalteromonas tetraodonis,
Shewanella oneidensis,
Shewanella sp. Arc9-LZ,
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,Mesophilic
Citrobacter arsenatis,Mesophilic
Enterobacter soli,Mesophilic
Enterobacter sp. SGAir0187,Mesophilic
Enterobacteriaceae endosymbiont of Plateumaris sericea,Mesophilic
Klebsiella quasivariicola,Mesophilic
Edwardsiella piscicida,Mesophilic
Xenorhabdus doucetiae,Mesophilic
Yersinia aldovae,Mesophilic
Yersinia canariae,Mesophilic
Coxiella-like endosymbiont,
Legionella antarctica,
Legionella sp. PC997,
Acinetobacter sp. Marseille-Q1620,
Acinetobacter sp. XS-4,
Acinetobacter sp. YH16056_T,
Moraxella catarrhalis,
Psychrobacter arcticus,
Halomonas sp. MS1,
Avibacterium sp. 20-132,
Histophilus somni,
Pseudomonas anuradhapurensis,Mesophilic
Pseudomonas sp. HN2,Mesophilic
Pseudomonas sp. SWI7,Mesophilic
Vibrio nigripulchritudo,
Bdellovibrio sp. SKB1291214,
Borreliella valaisiana,
Leadbettera azotonutricia,
Sphaerochaeta pleomorpha,
Treponema peruense,
Treponema phagedenis,
Thermosulfuriphilus ammonigenes,
Tepiditoga spiralis,
Guillardia theta,
Eremothecium sinecaudum,
Kazachstania africana,
Saccharomyces eubayanus,
Akonivirus phedro,
Gaiavirus gaia,
Pandoravirus quercus,
Sulfodiicoccus acidiphilus,
Thermoproteus tenax,
Thermoproteus uzoniensis,
Archaeoglobus profundus,
Haloarcula marismortui,
Natronorubrum bangense,
Methanothrix thermoacetophila,
Thermococcus profundus,
Candidatus Planktophila lacus,
Streptomyces sp. FR1,Mesophilic
Arthrobacter sp.,
Actinoplanes hotanensis,
Bacillus sp. 41-22,
Bacillus sp. COPE52,
Bacillus sp. JNUCC-24,
Macrococcus bohemicus,
Macrococcus epidermidis,
Aerococcus christensenii,
Aerococcus urinaehominis,
Ignavigranum ruoffiae,
Vagococcus penaei,
Companilactobacillus ginsenosidimutans,
Companilactobacillus heilongjiangensis,
Companilactobacillus zhachilii,
Lactobacillus sp. CBA3605,
Leuconostoc mesenteroides,
Ligilactobacillus saerimneri,
Limosilactobacillus frumenti,
Limosilactobacillus portuensis,
Oenococcus oeni,
Weissella jogaejeotgali,
Streptococcus australis,
Streptococcus parasanguinis,
Streptococcus sanguinis,
Aminipila terrae,
Mogibacterium pumilum,
Butyrivibrio hungatei,
Lacrimispora sphenoides,
Pseudobutyrivibrio xylanivorans,
Faecalibacterium sp. I4-3-84,
Fastidiosipila sanguinis,
Monoglobus pectinilyticus,
Acetoanaerobium sticklandii,
Peptostreptococcus sp. CBA3647,
Caldicellulosiruptor diazotrophicus,
Catenibacterium mitsuokai,
Erysipelothrix sp. HDW6C,
Intestinibaculum porci,
Caloranaerobacter azorensis,
Candidatus Azobacteroides pseudotrichonymphae,
Tannerella forsythia,
Polaribacter sp. HaHaR_3_91,
Chryseobacterium capnotolerans,
Cyanobacterium aponinum,
Anabaena cylindrica,
Nostoc sphaeroides,
Thermosynechococcus sp. NK55a,
Deferribacter desulfuricans,
Denitrovibrio acetiphilus,
Sneathia vaginalis,
Spiroplasma corruscae,
Mesomycoplasma ovipneumoniae,
Mycoplasma sp. E35C,
Mycoplasma sp. OR1901,
Mycoplasmopsis agalactiae,
Sedimentisphaera cyanobacteriorum,
Bradyrhizobium sp. CCGUVB23,
Liberibacter crescens,
Acetobacter tropicalis,
Wolbachia endosymbiont (group A) of Bibio marci,
Wolbachia endosymbiont (group A) of Epistrophe grossularia,
Orientia tsutsugamushi,
Sphingomonas sp. LaA6.9,
Sphingomonas sp. MEA3-1,
Polynucleobacter sp. MWH-Spelu-300-X4,
Polynucleobacter sp. UB-Siik-W21,
Polynucleobacter sp. es-EL-1,
Desulfobacter postgatei,
Desulfotalea psychrophila,
Aliarcobacter cibarius,
Halarcobacter ebronensis,
Campylobacter hominis,
Campylobacter lari,
Sulfurospirillum multivorans,
Caminibacter pacificus,
Cognaticolwellia beringensis,
Pseudoalteromonas donghaensis,
Pseudoalteromonas marina,
Pseudoalteromonas sp. SCSIO 43201,
Pseudoalteromonas xiamenensis,
Shewanella bicestrii,
Shewanella sp. LC6,
Shewanella sp. Scap07,
Candidatus Nitrosacidococcus sp. I8,
Candidatus Nitrosoglobus terrae,
Candidatus Annandia pinicola,Mesophilic
Candidatus Blochmannia vicinus,Mesophilic
Enterobacter cloacae complex sp. ECL414,Mesophilic
Kosakonia sp. CCTCC M2018092,Mesophilic
Leclercia sp. G3L,Mesophilic
Pantoea cypripedii,Mesophilic
Proteus sp. NMG38-2,Mesophilic
Pectobacterium polonicum,Mesophilic
Legionella hackeliae,
Acinetobacter chinensis,
Acinetobacter colistiniresistens,
Acinetobacter guillouiae,
Acinetobacter portensis,
Acinetobacter sp. NEB 394,
Acinetobacter sp. SWBY1,
Acinetobacter tandoii,
Psychrobacter sp. P11G5,
Psychrobacter sp. YP14,
Marinomonas sp. A3A,
Otariodibacter oris,
Vespertiliibacter pulmonis,
Pseudomonas sessilinigenes,Mesophilic
Pseudomonas sp. Os17,Mesophilic
Pseudomonas sp. T8,Mesophilic
Pseudomonas zarinae,Mesophilic
Francisella sp. FSC1006,
Francisella sp. Scap27,
Thiomicrorhabdus aquaedulcis,
Vibrio alfacsensis,
Vibrio cidicii,
Vibrio hyugaensis,
Vibrio jasicida,
Vibrio sp. ED002,
Vibrio sp. HDW18,
Vibrio sp. SCSIO 43133,
Vibrio sp. STUT-A11,
Leptospira kobayashii,
Leptospira santarosai,
Athalassotoga saccharophila,
Theileria orientalis,
Naumovozyma castellii,
Acanthamoeba polyphaga mimivirus,
Charlievirus michellemybell,
Farahnazvirus ISF9,
Hapunavirus VP882,
Septimatrevirus kakheti25,
Pepper veinal mottle virus,
Thermosphaera aggregans,
Methanobacterium sp. MZ-A1,
Methanocaldococcus lauensis,
Thermococcus aggregans,
Thermococcus thioreducens,
Arcanobacterium phocae,
Candidatus Nanopelagicus abundans,
Streptomyces sp. F8,Mesophilic
Corynebacterium suranareeae,
Rhodococcus sp. T9N,
Bacillus haynesii,
Bacillus nitratireducens,
Bacillus sp. BD59S,
Bacillus sp. JNUCC-22,
Staphylococcus caprae,
Enterococcus dispar,
Vagococcus sp. G314FT,
Acetilactobacillus jinshanensis,
Lactobacillus intestinalis,
Lactobacillus sp. PV034,
Lentilactobacillus laojiaonis,
Levilactobacillus koreensis,
Limosilactobacillus gastricus,
Liquorilactobacillus mali,
Paucilactobacillus oligofermentans,
Streptococcus chenjunshii,
Streptococcus sp. HN38,
Streptococcus urinalis,
Candidatus Arthromitus sp. SFB-rat-Yit,
Acetobacterium woodii,
Aminipila butyrica,
Coprococcus sp. ART55/1,
Sellimonas intestinalis,
Thermoanaerobacter italicus,
Caldicellulosiruptor acetigenus,
Bulleidia sp. zg-1006,
Tannockella kyphosi,
Turicibacter sanguinis,
Dialister pneumosintes,
Anaerococcus vaginalis,
Prevotella herbatica,
Prevotella histicola,
Prevotella nigrescens,
Prevotella sp. oral taxon 299,
Bergeyella cardium,
Chryseobacterium sp. MEBOG07,
Candidatus Nanosynbacter lyticus,
Gloeomargarita lithophora,
Cylindrospermopsis curvispora,
Dolichospermum flos-aquae,
Sphaerospermopsis kisseleviana,
Calothrix sp. 336/3,
Nostoc sp. UHCC 0702,
Scytonema sp. HK-05,
Halomicronema hongdechloris,
Thermosynechococcus sp. TA-1,
Prochlorococcus sp. MIT 0801,
Synechococcus sp. A15-60,
Synechococcus sp. MIT S9220,
Synechococcus sp. PCC 6312,
Synechococcus sp. SYN20,
Synechococcus sp. TAK9802,
Dictyoglomus thermophilum,
Fusobacterium periodonticum,
Streptobacillus moniliformis,
Mesoplasma lactucae,
Mycoplasmopsis meleagridis,
Malacoplasma penetrans,
Thermodesulfovibrio yellowstonii,
Bartonella clarridgeiae,
Bartonella schoenbuchensis,
Bartonella sp. 1-1C,
Bartonella sp. WD16.2,
Kordiimonas sp. SCSIO 12610,
Leisingera sp. M658,
Parasaccharibacter apium,
Sphingomonas sp. H160509,
Basilea psittacipulmonis,
Pelistega ratti,
Burkholderia sp. MSMB1588,
Polynucleobacter sp. AM-7D1,
Polynucleobacter sp. AP-Ainpum-60-G11,
Polynucleobacter sp. MWH-UH35A,
Polynucleobacter wuianus,
Polaromonas sp. H1N,
Alysiella filiformis,
Kingella denitrificans,
Neisseria zalophi,
Vitreoscilla sp. C1,
Hippea maritima,
Malaciobacter canalis,
Malaciobacter mytili,
Campylobacter ureolyticus,
Aeromonas sp. FDAARGOS 1406,
Pseudoalteromonas espejiana,
Pseudoalteromonas issachenkonii,
Shewanella psychromarinicola,
Shewanella sp. KX20019,
Candidatus Hamiltonella defensa,Mesophilic
Candidatus Profftia lariciata,Mesophilic
Citrobacter sp. RHBSTW-01013,Mesophilic
Enterobacter sp. E76,Mesophilic
Enterobacteriaceae endosymbiont of Donacia piscatrix,Mesophilic
Pantoea sp. SO10,Mesophilic
Moellerella wisconsensis,Mesophilic
Proteus penneri,Mesophilic
Dickeya solani,Mesophilic
Pectobacterium atrosepticum,Mesophilic
Pectobacterium sp. 21LCBS03,Mesophilic
Pectobacterium wasabiae,Mesophilic
Rahnella aceris,Mesophilic
Tatlockia micdadei,
Acinetobacter cumulans,
Psychrobacter sp. G,
Marinomonas sp. CT5,
Aggregatibacter actinomycetemcomitans,
Pasteurella skyensis,
Entomomonas sp. E2T0,
Pseudomonas cerasi,Mesophilic
Pseudomonas glycinae,Mesophilic
Pseudomonas sp. 7-41,Mesophilic
Pseudomonas sp. B21-017,Mesophilic
Pseudomonas sp. BJP69,Mesophilic
Pseudomonas sp. CYM-20-01,Mesophilic
Pseudomonas sp. Lz4W,Mesophilic
Pseudomonas sp. MPFS,Mesophilic
Pseudomonas sp. XWY-1,Mesophilic
Francisella orientalis,
Vibrio atlanticus,
Vibrio breoganii,
Vibrio qinghaiensis,
Vibrio toranzoniae,
Vibrio tritonius,
Oceanispirochaeta crateris,
Treponema parvum,
Thermosipho africanus,
Thermotoga profunda,
Plasmodium chabaudi,
Theileria parva,
Kluyveromyces marxianus,
Heterosigma akashiwo virus 01,
Chiangmaivirus RSF1,
Gustavvirus gustav,
Likavirus caliburn,
Caulobacter virus Karma,
Pseudomonas virus PaMx11,
Pandoravirus inopinatum,
Ignicoccus hospitalis,
Thermofilum pendens,
Haladaptatus pallidirubidus,
Natrinema halophilum,
Methanosarcina sp. MTP4,
Thermococcus aciditolerans,
Thermococcus gammatolerans,
Thermococcus paralvinellae,
Nitrosopumilus oxyclinae,
Thermotomaculum hydrothermale,
Corynebacterium kutscheri,
Rhodococcus sp. BH4,
Lancefieldella parvula,
Collinsella sp. zg1085,
Bacillus sp. FS02,
Bacillus sp. PGP15,
Pseudalkalibacillus hwajinpoensis,
Exiguobacterium sp. PFWT01,
Staphylococcus schweitzeri,
Staphylococcus sp. 11-B-312,
Vagococcus hydrophili,
Vagococcus sp. CY52-2,
Apilactobacillus apinorum,
Bombilactobacillus bombi,
Bombilactobacillus folatiphilus,
Lactobacillus acetotolerans,
Leuconostoc citreum,
Leuconostoc gasicomitatum,
Ligilactobacillus murinus,
Limosilactobacillus vaginalis,
Weissella ceti,
Weissella hellenica,
Floricoccus penangensis,
Streptococcus himalayensis,
Streptococcus macedonicus,
Streptococcus marmotae,
Streptococcus mutans,
Streptococcus parauberis,
Streptococcus sobrinus,
Streptococcus sp. 1643,
Clostridium fermenticellae,Mesophilic
Clostridium ljungdahlii,Mesophilic
Blautia liquoris,
Caldicellulosiruptor changbaiensis,
Caldicellulosiruptor owensensis,
Apibacter sp. B3706,
Chryseobacterium nepalense,
Kaistella antarctica,
Anabaenopsis elenkinii,
Dolichospermum sp. UHCC 0315A,
Synechococcus sp. RS9902,
Thermus sp. PS18,Thermophilic
Fusobacterium mortiferum,
Fusobacterium ulcerans,
Leptotrichia trevisanii,
Sebaldella termitidis,
Spiroplasma citri,
Spiroplasma tabanidicola,
Mycoplasma anserisalpingitidis,
Mycoplasmopsis californica,
Mycoplasmopsis felis,
Mycoplasmopsis maculosa,
Ureaplasma diversum,
Ureaplasma urealyticum,
Metamycoplasma hominis,
Metamycoplasma hyosynoviae,
[Mycoplasma] phocidae,
Dissulfurispira thermophila,
Bartonella bacilliformis,
Bartonella henselae,
Brucella ovis,
Candidatus Pelagibacter sp. IMCC9063,
Aristophania vespae,
Anaplasma centrale,
Ehrlichia chaffeensis,
Candidatus Deianiraea vastatrix,
Neisseria sp. Dent CA1/247,
Snodgrassella alvi,
Pajaroellobacter abortibovis,
Aliarcobacter butzleri,
Arcobacter suis,
Arcobacter venerupis,
Halarcobacter bivalviorum,
Campylobacter hepaticus,
Campylobacter sp. RM8964,
Helicobacter felis,
Helicobacter heilmannii,
Helicobacter sp. NHP19-0012,
Candidatus Sulfurimonas marisnigri,
Sulfurimonas hydrogeniphila,
Sulfurimonas paralvinellae,
Aeromonas sp. 1805,
Aeromonas sp. BC14,
Aeromonas sp. FDAARGOS 1408,
Alteromonas australica,
Moritella sp. 24,
Pseudoalteromonas sp. Bsw20308,
Pseudoalteromonas sp. DL-6,
Shewanella halifaxensis,
Shewanella sp. ANA-3,
Shewanella sp. FJAT-51649,
Shewanella sp. OMA3-2,
Citrobacter sp. BDA59-3,Mesophilic
Citrobacter youngae,Mesophilic
Shigella sonnei,Mesophilic
Pectobacterium polaris,Mesophilic
Serratia surfactantfaciens,Mesophilic
Yersinia pseudotuberculosis,Mesophilic
Isorropodon fossajaponicum symbiont,
Fluoribacter dumoffii,
Legionella israelensis,
Legionella longbeachae,
Acinetobacter seifertii,
Acinetobacter sp. AS23,
Acinetobacter sp. TGL-Y2,
Moraxella sp. ZY201224,
Psychrobacter sp.,
Rodentibacter haemolyticus,
Pseudomonas sp. 09C 129,Mesophilic
Pseudomonas sp. B21-036,Mesophilic
Pseudomonas sp. I3-I5,Mesophilic
Pseudomonas sp. MIL9,Mesophilic
Pseudomonas sp. Y39-6,Mesophilic
Cycloclasticus sp. P1,
Vibrio ishigakensis,
Vibrio neonatus,
Vibrio pelagius,
Vibrio rotiferianus,
Leptospira sp. GIMC2001,
Borreliella afzelii,
Thermodesulfatator indicus,
Petrotoga mobilis,
Fervidobacterium nodosum,
Plasmodium vinckei,
Babesia bovis,
Babesia microti,
Zygosaccharomyces rouxii,
Encephalitozoon intestinalis,
Acadianvirus serendipitous,
Pseudomonas phage Itty13,
Fionnbharthvirus henu3,
Kisquattuordecimvirus KS14,
Rosenblumvirus SCH1,
Inbricusvirus inbricus,
Lincruvirus wenlingense,
Candidatus Prometheoarchaeum syntrophicum,
Ferroplasma acidiphilum,
Acidilobus sp. 7A,
Acidianus ambivalens,
Acidianus brierleyi,
Saccharolobus caldissimus,
Sulfolobus islandicus,
Sulfolobus sp. A20,
Ferroglobus placidus,
Methanobacterium alkalithermotolerans,
Methanobacterium formicicum,
Methanothermus fervidus,Thermophilic
Methanocaldococcus infernus,
Methanocella conradii,
Methanospirillum hungatei,
Methanosarcina vacuolata,
Thermococcus camini,
Thermococcus indicus,
Thermococcus sp. AM4,
Thermococcus sp. P6,
Candidatus Nitrosocosmicus oleophilus,
Corynebacterium kefirresidentii,
Corynebacterium rouxii,
Rhodococcus sp. H-CA8f,
Thermocrinis albus,
Bacillus sp. HBCD-sjtu,
Bacillus sp. LJBV19,
Bacillus sp. MBGLi79,
Paenibacillus sp. KACC 21273,
Staphylococcus sp. IVB6181,
Amylolactobacillus amylophilus,
Apilactobacillus apisilvae,
Apilactobacillus bombintestini,
Companilactobacillus futsaii,
Companilactobacillus paralimentarius,
Limosilactobacillus panis,
Paucilactobacillus hokkaidonensis,
Weissella diestrammenae,
Weissella viridescens,
Lactococcus sp. LG606,
Streptococcus sp. zg-86,
Aminipila luticellarii,
Blautia pseudococcoides,
Halanaerobium hydrogeniformans,
Halanaerobium praevalens,
Caldicellulosiruptor sp. DIB 104C,
Thermodesulfobium acidiphilum,
Allobaculum sp. Allo2,
Coprobacter secundus,
Odoribacter splanchnicus,
Prevotella sp. E13-3,
Blattabacterium sp. DPU,
Dokdonia sp. Dokd-P16,
Myroides sp. A21,
Polaribacter sp. KT 15,
Candidatus Walczuchella monophlebidarum,
Candidatus Chlamydia sanziniae,
Chlamydia crocodili,
Chlamydia pneumoniae,
Anabaenopsis circularis,
Anabaena sp. WA102,
Nostoc sp. ATCC 53789,
Nostoc sp. CENA543,
Synechococcus sp. PCC 73109,
Pseudoleptotrichia goodfellowii,
Williamsoniiplasma luminosum,
Mycoplasma capricolum,
Mycoplasmopsis bovigenitalium,
Mycoplasmopsis glycophila,
Metamycoplasma cloacale,
Candidatus Hydrogenosomobacter endosymbioticus,
Bartonella birtlesii,
Bartonella bovis,
Bartonella taylorii,
Entomobacter blattae,
Candidatus Kinetoplastibacterium oncopeltii,
Candidatus Vallotia lariciata,
Polynucleobacter paludilacus,
Polynucleobacter sp. JS-JIR-II-50,
Polynucleobacter sp. JS-Mosq-20-D10,
Polynucleobacter sp. MWH-S4W17,
Neisseria sp. oral taxon 014,
Simonsiella muelleri,
Aromatoleum buckelii,
Aliarcobacter thereius,
Arcobacter sp. FWKO B,
Malaciobacter pacificus,
Campylobacter canadensis,
Campylobacter lanienae,
Campylobacter sp. RM12651,
Helicobacter cetorum,
Helicobacter hepaticus,
Helicobacter himalayensis,
Helicobacter suis,
Candidatus Sulfurimonas baltica,
Sulfurimonas sp. CVO,
Caminibacter mediatlanticus,
Aeromonas sp. 2692-1,
Litorilituus sediminis,
Pseudoalteromonas sp. KAN5,
Pseudoalteromonas sp. LC2018020214,
Pseudoalteromonas sp. R3,
Shewanella glacialimarina,
Atlantibacter subterranea,Mesophilic
Citrobacter tructae,Mesophilic
Enterobacter cloacae complex sp. ECNIH7,Mesophilic
Enterobacter cloacae complex sp. FDA-CDC-AR_0164,Mesophilic
Enterobacter sp. DNB-S2,Mesophilic
Enterobacter sp. RHBSTW-00994,Mesophilic
Arsenophonus apicola,Mesophilic
Pectobacterium versatile,Mesophilic
Candidatus Fukatsuia symbiotica,Mesophilic
endosymbiont of Pachyrhynchus infernalis,
Candidatus Ruthia endofausta,
Kangiella sediminilitoris,
Coxiella burnetii,
Candidatus Rickettsiella viridis,
Rickettsiella endosymbiont of Dermanyssus gallinae,
Legionella lansingensis,
Acinetobacter sp. ACNIH1,
Acinetobacter sp. MYb10,
Acinetobacter sp. SCLZS86,
Psychrobacter sp. 4Bb,
Psychrobacter sp. P11G3,
Zophobihabitans entericus,
Avibacterium volantium,
Frederiksenia canicola,
[Haemophilus] ducreyi,
Mergibacter septicus,
Pasteurella dagmatis,
Entomomonas asaccharolytica,
Pseudomonas oryziphila,Mesophilic
Pseudomonas sp. ADAK22,Mesophilic
Pseudomonas sp. B21-021,Mesophilic
Allofrancisella frigidaquae,
Cycloclasticus sp. PY97N,
Hydrogenovibrio thermophilus,
Aliivibrio salmonicida,
Salinivibrio costicola,
Salinivibrio sp. YCSC6,
Vibrio artabrorum,
Vibrio gallaecicus,
Vibrio kanaloae,
Vibrio sp. B1FIG11,
Vibrio sp. SCSIO 43135,
Vibrio sp. SCSIO 43136,
Vibrio sp. VB16,
Brachyspira murdochii,
Borrelia hermsii,
Borrelia recurrentis,
Gracilinema caldarium,
Treponema sp. OMZ 305,
Treponema sp. OMZ 787,
Treponema sp. OMZ 788,
Kosmotoga olearia,
Kosmotoga pacifica,
Mesotoga prima,
Methylacidiphilum kamchatkense,
Methylacidiphilum sp. IT5,
Methylacidiphilum sp. IT6,
Paramecium tetraurelia,
Giardia intestinalis,
Anthonyvirus anthony,
Bertelyvirus BL9,
Arthrobacter phage BaileyBlu,
Arthrobacter phage Faja,
Dunaliella viridis virus SI2,
Rhodococcus phage E3,
Donellivirus gee,
Gilesvirus giles,
Keshuvirus keshu,
Arthrobacter phage KeAlii,
Phreappuccinovirus Phrappuccino,
Arthrobacter phage SilentRX,
Gundelvirus Gundel,
Pokkenvirus pokken,
Great Island virus,
Nephila clavipes virus 4,
Thermogladius calderae,
Stygiolobus caldivivus,
Thermofilum adornatum,
Pyrobaculum arsenaticum,
Pyrobaculum neutrophilum,
Methanobacterium subterraneum,
Methanocaldococcus bathoardescens,
Methanococcus aeolicus,
Methanolacinia petrolearia,
Methanoregula boonei,
Methanosalsum zhilinae,
Methanosarcina acetivorans,
Pyrococcus kukulkanii,
Thermococcus eurythermalis,
Thermococcus nautili,
Thermococcus sp. 5-4,
Nanobdella aerobiophila,
Nitrososphaera viennensis,
Candidatus Nitrosopelagicus brevis,
Streptomyces sp. HK1,Mesophilic
Arthrobacter sp. H16F315,
Tropheryma whipplei,
Corynebacterium anserum,
Corynebacterium sp. sy039,
Rhodococcus sp. AQ5-07,
Rhodococcus sp. NS1,
Persephonella marina,
Sulfurihydrogenibium azorense,
Atribacter laminatus,
Bacillus sp. HNR-4,
Bacillus sp. PAMC26543,
Bacillus sp. ZJS3,
Abiotrophia defectiva,
Enterococcus sp. CR-Ec1,
Companilactobacillus pabuli,
Fructilactobacillus hinvesii,
Fructilactobacillus ixorae,
Fructilactobacillus lindneri,
Fructobacillus americanaquae,
Lactobacillus amylolyticus,
Lactobacillus sp. 3B(2020),
Lactobacillus terrae,
Latilactobacillus fuchuensis,
Paucilactobacillus nenjiangensis,
Weissella soli,
Lactococcus allomyrinae,
Lactococcus carnosus,
Lactococcus formosensis,
Lactococcus taiwanensis,
Streptococcus acidominimus,
Streptococcus dysgalactiae,
Streptococcus ilei,
Streptococcus koreensis,
Streptococcus sp. 116-D4,
Streptococcus sp. oral taxon 431,
Streptococcus uberis,
Dehalobacter restrictus,
Erysipelothrix larvae,
Veillonella dispar,
Anaerococcus obesiensis,
Prevotella scopos,
Prevotella sp. E2-28,
Capnocytophaga sp. FDAARGOS_737,
Caldisericum exile,
Chlamydia muridarum,
Simkania negevensis,
Waddlia chondrophila,
Geminocystis sp. NIES-3708,
Cyanobacterium sp. uoEpiScrs1,
Microcystis sp. MC19,
Calothrix sp. PCC 7507,
Nostoc sp. PCC 7107,
Brasilonema sennae,
Crinalium epipsammum,
Synechococcus sp. CC9605,
